insufficiency:NN	অপর্যাপ্ততা
alternately:RB	একান্তরভাবে
poor:JJ	দূর্বল
muslims:NPS	মুসলমান
section:NN	অনুচ্ছেদ
awaken:VV	জাগ্রত করা
corroborate:VV	সমর্থিত হওয়া
entrapped:VV	ফাঁদে পড়া
wahhabis:NPS	ওহাবী
jocular:JJ	রসিক
clog:VV	অবরোধ করা
odyssey:NN	দুঃসাহসিক যাত্রা
spunky:JJ	সাহসী
convection:NN	পরিচলন
untrustworthiness:NN	বিশ্বাসঘাতকতা
condom:NN	গর্ভনিরোধক খাপবিশেষ
draconian:JJ	নির্মম
nourish:VV	লালন পালন করা
morphine:NN	বেদনা নাশক ঔষধ
condensation:NN	ঘনীভবন
condensation:NN	সংক্ষেপন
precariously:RB	অনিশ্চিতভাবে
dynastic:JJ	রাজবংশীয়
preventative:JJ	প্রতিষেধক
layering:NN	স্তরে স্তরে
sperm:NN	বীর্য
sperm:NN	শুক্র
sensitize:VV	সংবেদনশীল করা
amassing:NN	পুঞ্জীভূত করা
gore:NN	জমাট বাধা রক্ত
punctually:RB	সময়ানুবর্তীভাবে
aversion:NN	অনীহা
aversion:NN	বিরক্তি
apparatus:NN	যন্ত্রপাতি
nudge:VV	হালকাভাবে ঠেলা
consensus:NN	ঐকমত্য
pillar:NN	স্তম্ভ
fourth.pillar:NN	চতুর্থ স্তম্ভ
ruleset:NN	নীতিবিন্যাস
synopsis:NN	সারাংশ
foundation:NN	প্রতিষ্ঠান
resolution:NN	নিরসন
disagreement:NN	অনৈক্য
dispute:NN	সংঘাত
memory:NN	স্মৃতি
prone:JJ	প্রবণ
with:IN	সঙ্গে
shouting:NN	চিৎকার
unconfirmed:JJ	অসমর্থিত
propaganda:NN	প্রচার
caterpillar:NN	শুঁয়োপোকা
verifiable.evidence:NN	যাচাইযোগ্য সাক্ষ্যপ্রমান
subject-specific.guidelines:NN	নির্দিষ্ট বিষয়ের নির্দেশাবলী
topic:NN	আলোচ্য বিষয়
independent:NN	স্বাধীন
mourning:NN	শোক
references:NNS	তথ্যসূত্র
publications:NNS	প্রকাশনা
rabbits:NNS	খরগোশ
perceives:VVZ	উপলব্ধি করা
teheran:NP	তেহেরান
najaf:NP	নাজাফ
Istambul:NN	ইস্তাম্বুল
communism:NN	বামপন্থা
webspace:NN	ওয়েব স্পেস
reproduce:VV	জন্ম দেওয়া
fueloil:NN	জ্বালানী তেল
tableau:NN	স্থির উপস্থাপনা
landline:NN	ল্যান্ডলাইন
sporadic:JJ	বিচ্ছিন্ন
forborne:VV	বিরত থাকা
shipbuilding:NN	জাহাজ নির্মাণ
bioengineer:NN	জৈব প্রযুক্তিবিদ
verdict:NN	বিধান
verdict:NN	বিচারক এর রায়
congruent:JJ	সমাপতিত
ruined:JJ	ধ্বংসপ্রাপ্ত
squirrel:NN	কাঠবিড়ালী
medium-sized:JJ	মাঝারি-আকারের
squirrels:NNS	কাঠবিড়ালী
snake:NN	সাপ
snakes:NNS	সাপ
